customer_id,age,annual_income_k,spending_score,purchase_frequency,avg_order_value,loyalty_years,segment_category
CUST_0473,52,69.3,64,12,50.63,5.7,Wholesale
CUST_0474,57,60.4,77,18,44.1,8.8,Online
CUST_0475,69,65.5,81,12,106.23,6.5,Wholesale
CUST_0476,33,73.7,72,14,85.27,4.0,Wholesale
CUST_0477,30,51.5,21,7,116.95,1.0,Retail
CUST_0478,67,45.5,18,10,20.79,1.0,Wholesale
CUST_0479,59,69.9,94,9,42.98,9.9,Corporate
CUST_0480,47,40.5,64,20,85.43,0.1,Online
CUST_0481,36,75.2,82,16,97.53,3.8,Online
CUST_0482,34,22.4,95,8,110.41,3.7,Online
CUST_0483,36,90.7,38,15,90.24,2.9,Corporate
CUST_0484,45,76.8,32,13,89.94,13.8,Corporate
CUST_0485,43,71.4,11,12,73.32,1.1,Corporate
CUST_0486,54,89.6,45,11,132.73,1.2,Corporate
CUST_0487,43,106.6,89,5,51.91,0.2,Corporate
CUST_0488,40,90.4,33,7,95.77,1.8,Wholesale
CUST_0489,26,19.0,41,19,55.37,0.9,Corporate
CUST_0490,29,33.0,8,20,101.04,1.3,Corporate
CUST_0491,18,49.4,11,10,53.89,5.4,Corporate
CUST_0492,18,65.7,86,12,107.31,8.2,Corporate
CUST_0493,64,77.9,51,14,88.36,0.6,Online
CUST_0494,51,46.9,88,6,137.34,1.4,Corporate
CUST_0495,49,69.7,41,10,76.57,7.9,Wholesale
CUST_0496,65,46.1,17,10,97.75,0.2,Wholesale
CUST_0497,42,49.7,76,18,61.61,0.3,Wholesale
CUST_0498,57,29.8,46,17,76.36,0.5,Retail
CUST_0499,62,41.9,32,12,88.17,2.7,Online
CUST_0500,18,31.2,79,13,39.18,0.5,Corporate
